employee_id,name,age,gender,marital_status,department,job_role,education,years_at_company,total_working_years,years_in_current_role,years_since_last_promotion,num_companies_worked,monthly_income,stock_option_level,training_times_last_year,distance_from_home,job_satisfaction,work_life_balance,environment_satisfaction,job_involvement,performance_rating,over_time,attrited,attrition_risk,risk_level
EMP00001,Betty Robinson,18,Female,Married,Research & Development,Research Scientist,3,0.0,3.0,0.0,0.0,1,7781.89,0,4,5,4,3,2,3,3,True,False,0.4617,Medium
EMP00002,Brian Hernandez,40,Female,Single,Operations,Operations Analyst,3,4.0,4.0,0.0,0.0,4,8534.65,1,3,13,2,3,3,3,3,False,False,0.2021,Low
EMP00003,Carol Edwards,40,Male,Single,Finance,Manager,3,1.0,8.0,0.0,0.0,0,12918.94,1,3,29,3,3,4,2,3,False,False,0.1144,Low
EMP00004,Dennis Gonzalez,20,Female,Divorced,Human Resources,Manager,4,2.0,2.0,1.0,1.0,1,6767.74,0,4,9,3,2,1,3,3,True,True,0.6989,High
EMP00005,Shirley Allen,29,Male,Married,Sales,Sales Executive,2,10.0,10.0,10.0,1.0,3,10528.5,1,4,7,4,3,2,2,4,False,False,0.0723,Low
EMP00006,John Cox,29,Female,Married,Sales,Sales Executive,3,1.0,1.0,1.0,0.0,0,8835.4,0,3,12,4,2,1,2,3,False,False,0.2802,Low
EMP00007,Linda Bailey,30,Female,Married,Sales,Sales Executive,4,0.0,26.0,0.0,0.0,1,12391.7,0,3,5,2,2,1,3,3,False,False,0.2338,Low
EMP00008,Linda Mitchell,47,Female,Married,IT,Manager,3,0.0,0.0,0.0,0.0,3,7337.65,1,3,17,3,3,1,2,3,True,False,0.669,High
EMP00009,Richard Perez,35,Male,Single,Human Resources,Human Resources,3,9.0,23.0,4.0,2.0,0,12611.59,2,5,1,2,3,3,2,3,False,False,0.0426,Low
EMP00010,James Ortiz,33,Male,Single,Finance,Manager,3,2.0,7.0,2.0,0.0,4,12916.78,0,2,3,3,4,2,4,3,False,False,0.1074,Low
EMP00011,Mary Smith,47,Female,Married,Sales,Manager,3,3.0,12.0,0.0,0.0,1,6226.87,1,5,29,3,2,4,3,3,False,True,0.0577,Low
EMP00012,Michelle Roberts,41,Female,Married,Operations,Manufacturing Director,1,3.0,3.0,0.0,0.0,3,6648.13,1,6,1,4,3,4,3,3,False,False,0.0283,Low
EMP00013,Donna Brown,21,Male,Divorced,Marketing,Marketing Analyst,2,1.0,1.0,1.0,1.0,0,6512.88,0,2,10,1,3,2,4,3,False,False,0.2781,Low
EMP00014,Aaron Reed,31,Male,Divorced,Sales,Manager,4,9.0,29.0,6.0,1.0,5,11059.15,1,2,29,3,1,3,3,3,False,False,0.0768,Low
EMP00015,Larry Mitchell,39,Male,Married,Sales,Sales Representative,5,1.0,5.0,1.0,0.0,1,8900.39,0,3,29,2,4,4,3,4,True,False,0.2693,Low
EMP00016,William Thompson,28,Female,Divorced,Sales,Sales Executive,3,1.0,6.0,1.0,1.0,2,8061.64,1,2,2,4,2,3,3,4,False,False,0.1055,Low
EMP00017,Matthew Richardson,55,Male,Single,Research & Development,Research Scientist,4,2.0,40.0,2.0,1.0,1,15019.4,0,2,11,2,3,3,2,3,False,False,0.1372,Low
EMP00018,Amy White,38,Male,Married,Research & Development,Research Scientist,3,1.0,4.0,0.0,0.0,1,10176.9,0,3,18,4,2,2,3,4,False,False,0.1013,Low
EMP00019,Jonathan Ramirez,30,Male,Single,Research & Development,Laboratory Technician,5,1.0,1.0,1.0,1.0,0,10257.73,0,3,15,3,3,1,4,3,False,True,0.2306,Low
EMP00020,Brian Gonzalez,26,Male,Married,Sales,Sales Executive,4,2.0,8.0,2.0,1.0,2,6483.71,0,3,10,2,3,4,4,3,True,False,0.4361,Medium
EMP00021,Debra Martin,45,Male,Married,Human Resources,Human Resources,3,7.0,8.0,3.0,0.0,3,9781.98,0,4,10,4,3,3,3,3,False,False,0.0384,Low
EMP00022,Scott Mitchell,31,Male,Single,Sales,Manager,2,6.0,14.0,1.0,0.0,0,10796.12,1,5,6,3,2,4,2,3,False,False,0.0513,Low
EMP00023,Pamela Thompson,40,Male,Single,Sales,Sales Executive,3,2.0,31.0,2.0,2.0,0,11655.2,0,0,13,4,4,2,3,3,True,False,0.2935,Low
EMP00024,Jeffrey Thompson,26,Female,Married,Research & Development,Manager,2,1.0,3.0,0.0,0.0,4,6738.88,0,2,3,3,2,3,2,3,False,False,0.3668,Medium
EMP00025,Nicholas Martin,37,Male,Married,Research & Development,Laboratory Technician,4,6.0,12.0,0.0,0.0,3,12087.88,1,3,14,4,2,3,3,3,False,False,0.0401,Low
EMP00026,Jeffrey Brown,31,Female,Single,Marketing,Marketing Manager,3,0.0,5.0,0.0,0.0,2,9875.44,1,5,18,3,2,3,3,4,True,True,0.6124,High
